34870 37 24
56557 37 7
129112 37 8
63861 37 11
131717 34 9
23595 36 19
93002 35 5
136859 36 20
68574 36 1
119263 33 18
60572 37 23
118480 37 26
6522 37 2
20706 33 25
42237 36 21
142698 37 5
56025 35 12
118847 34 4
63763 36 19
133442 34 17
100344 33 22
82219 36 19
94060 37 21
39493 37 25
118250 34 2
50209 36 8
107050 37 15
75236 35 24
57576 37 16
26746 37 13
33174 36 14
47266 37 18
69886 33 16
62818 37 0
14506 37 23
29589 37 21
90655 36 6
84402 37 10
108343 36 7
15953 34 8
120035 34 10
46867 37 17
1338 37 1
10179 37 0
19834 37 17
137652 35 10
121324 35 17
110670 32 11
122652 37 5
147554 32 12
33632 37 26
145764 37 15
28883 37 25
53863 37 2
103634 37 5
42951 36 17
144360 33 10
43754 33 18
95986 31 26
90919 23 5
132960 37 24
141659 37 4
57518 33 4
136366 34 21
5119 38 18
35158 40 5
53251 37 16
107175 36 22
87759 37 12
37219 33 23
84768 33 6
49096 35 17
117892 37 2
36380 38 10
96509 32 24
119336 38 6
141369 36 9
97070 37 6
109425 37 9
120723 37 26
49506 38 23
64989 37 19
112267 36 11
83532 34 13
40869 37 21
12133 32 25
52724 33 16
123985 32 25
2720 36 20
112513 37 21
9504 32 12
143778 36 4
129472 37 19
40836 37 2
26431 33 17
63541 37 23
102678 35 25
71550 36 21
118215 29 21
64120 33 22
119578 37 7
133457 36 9
128439 38 6
55209 35 4
6458 37 26
10504 34 25
69418 37 5
72381 37 26
104639 36 0
72772 37 6
85923 36 3
127712 33 20
97582 37 4
79314 33 2
25380 30 17
77548 36 10
20263 37 11
36039 36 12
56224 32 5
71426 33 8
64966 36 17
74327 37 17
50483 36 21
106347 37 16
40881 37 8
86318 36 14
22613 32 20
142741 35 16
1289 37 6
39088 31 14
118779 37 14
59386 37 22
111296 37 3
49200 37 12
18056 38 3
72488 37 12
116788 32 9
35807 38 24
55705 34 8
75613 37 5
121120 32 11
129771 37 4
100741 30 6
46260 36 3
142559 37 9
114674 37 25
52944 37 19
114827 37 25
117730 36 11
87642 37 3
57968 37 5
51861 37 18
133108 34 22
136846 36 14
74438 33 3
108964 37 20
82864 36 18
131638 33 26
105986 33 10
105791 35 0
100576 23 10
56933 36 10
38482 36 0
125641 37 9
78394 37 1
108258 34 12
5137 37 8
75590 36 9
126147 36 26
111880 37 0
36494 34 4
97820 32 12
59393 37 17
39047 19 16
19709 35 5
54545 37 24
43404 33 26
88051 33 25
73698 36 4
51084 36 25
85276 37 23
16841 33 22
55697 37 26
98736 37 24
77724 37 8
105163 37 22
70120 33 11
90819 37 16
147456 37 0
61910 37 18
21234 24 19
95139 38 14
93110 37 20
9913 37 16
110993 36 24
58302 37 24
6022 33 25
23903 34 25
25891 37 26
64505 37 5
14161 33 22
50400 36 5
122765 37 3
92896 34 16
83147 33 19
111299 35 4
136771 37 20
142912 35 19
60926 38 7
75238 36 0
33220 36 25
72511 37 9
39319 33 0
136822 37 2
52906 37 1
12696 28 2
55998 32 18
126229 34 16
64810 37 22
51477 36 24
104847 37 8
113147 34 0
117167 37 13
110455 37 7
75261 37 11
84841 33 18
39824 32 15
84384 34 23
41319 37 13
12588 33 16
25805 34 16
26719 37 22
11748 37 23
72685 37 13
52825 25 20
84237 38 25
62707 37 13
20859 31 4
116729 37 19
54856 35 3
41465 37 12
25699 35 12
31082 34 7
96825 36 17
125509 36 26
79410 37 12
56683 37 25
116383 34 17
84901 33 26
140123 37 18
75576 33 12
8466 38 25
67863 37 20
91792 37 11
133657 35 24
110800 33 2
92971 34 10
45915 37 19
17743 37 10
68727 36 10
134801 34 25
94725 37 25
64895 37 5
60289 33 8
55450 33 19
123453 32 6
68138 35 26
22189 33 9
84437 37 6
53151 36 20
63596 35 22
91419 37 8
111679 36 1
66147 35 20
53538 37 16
68933 37 23
24918 37 21
59226 37 18
135294 34 1
69285 38 10
36753 35 14
97230 38 21
16198 34 1
136270 37 24
60953 34 9
51144 37 5
142135 36 13
103305 33 1
98918 37 24
72295 37 9
32596 33 21
3527 38 9
105706 33 7
101807 34 23
145771 37 1
5203 37 5
133268 37 4
99935 38 4
48879 37 14
41521 38 10
86146 37 21
105959 37 26
1825 33 5
835 37 7
22459 33 20
69234 36 14
64251 37 10
75009 37 10
110056 35 18
144993 37 25
2322 32 17
57662 36 3
3050 37 18
110876 32 15
114831 34 26
130780 35 12
131518 37 16
60958 37 19
33127 33 14
17752 36 21
112490 37 18
143389 36 9
82495 37 12
3578 37 3
16788 36 10
140329 36 17
25107 37 7
59807 38 4
30433 37 19
101212 37 7
22724 37 25
113830 37 21
36544 37 19
41307 32 26
100498 38 18
15974 37 13
61318 34 7
117118 35 9
111978 37 4
130343 37 18
4777 33 26
60762 37 21
51687 34 5
81053 36 4
53895 36 6
176 37 6
140559 35 11
95020 35 12
51379 39 15
57801 35 22
6531 33 5
79950 36 26
48306 36 20
24652 35 7
63000 37 26
102451 36 20
36169 36 20
15429 37 0
25315 37 18
26409 37 17
121094 32 10
42390 36 17
49703 36 26
18931 37 20
22184 36 21
19549 35 4
15465 38 15
42054 36 2
89831 24 18
112036 36 21
32754 35 2
70657 33 6
